"PFLU","WT.FC.Ac","WS1.FC","WS1.FC.Ac","WFE.FC","WFE.FC.Ac","Gene.Name","Product.Description","GO.Term"
"PFLU_3264",-0.647599679715874,2.37443505046728,-1.69420846326155,1.12301150951119,-0.878825172615613,"PFLU_3264","Putative MetA-pathway of phenol degradation",""
"PFLU_3344",2.41059638343311,3.09452304664959,6.53605633177909,3.66734104802527,6.09700074598722,NA,NA,NA
"PFLU_4247",-0.174780268504424,0.0701818347927427,-1.19165032433799,-0.502649212521231,-0.362495955807826,"PFLU_4247","LysR family transcriptional regulator","DNA-binding transcription factor activity"
"PFLU_4270",-0.683124381029443,0.427187615388166,-1.21143441141363,-0.010237716997339,0.535406873070973,"PFLU_4270","putative ABC transporter ATP-binding protein","membrane"
"PFLU_4277",4.90615122810414,0.777203828107034,2.88867116007344,1.51904825757355,3.57007407693102,"PFLU_4277","methionine sulfoxide reductase A","peptide-methionine (S)-S-oxide reductase activity"
"PFLU_4404",0.295542331196236,-0.818539374164353,-1.19857871990692,-0.960277328612168,-0.00872075579043846,"PFLU_4404","putative response regulator","phosphorelay signal transduction system"
"PFLU_4554",5.63178726076609,3.86815652248993,4.25973138854892,2.82186261114259,4.04758957732845,"PFLU_4554","cbb3-type cytochrome c oxidase subunit II","electron transfer activity"
"PFLU_4555",5.18489097492051,4.14927712837587,4.70721907470558,3.57920777538285,4.84356372305316,"PFLU_4555","putative cytochrome C oxidase subunit ",""
"PFLU_4683",-1.70178160198036,0.0757902701117233,-2.40803925162003,-0.445544072051391,-2.32320747535777,"araG(2)","L-arabinose transporter ATP-binding protein","L-arabinose-importing ATPase activity"
"PFLU_4684",-1.67507699180581,-0.439684878669894,-2.79549716850958,-0.436595630921012,-1.74660239133716,"PFLU_4684","L-arabinose-binding periplasmic protein","L-arabinose transmembrane transport"
"PFLU_4790",1.19418892424865,3.99218602207884,4.61577851500697,5.93683225421333,6.97599824194517,"PFLU_4790","Peptidase propeptide and YPEB domain",""
"PFLU_4885",0.33576034547696,4.80261244769308,5.21150186055529,5.65164684171766,7.97536225155203,"PFLU_4885"," zinc resistance protein*",""
"PFLU_5029",3.02498135010714,4.15914697049705,6.49176423860541,4.51228844885282,6.00474862708513,"serA","D-3-phosphoglycerate dehydrogenase ",""
"PFLU_5070",-0.103784877603753,-0.836767692478896,-1.18362261515998,-1.21553698713709,-0.779261481584728,"PFLU_5070","putative serine acetyltransferase","cytoplasm"
"PFLU_5269",5.07250212439919,2.51774464043565,4.48374789176351,2.53212129778012,5.69467118195143,"dnaK","molecular chaperone DnaK","ATP binding"
"PFLU_5359",4.34923095206066,6.9259080546689,6.6645835957501,5.91685784709544,7.20821336016819,"hasAp","Heme-binding protein A *",""
"PFLU_5483",5.92502237718465,4.72016814110414,5.86058937592366,3.97344164184398,5.40199760577059,"PFLU_5483","putative ABC transporter outer membrane exported protein","cell outer membrane"
"PFLU_5488",-1.68828910179322,0.692281812013694,-1.95504129019303,0.653042476359651,-1.50441256833085,"PFLU_5488","cardiolipin synthase 2","catalytic activity"
"PFLU_5493",-0.40306640615548,-0.409836523088828,-1.16107527865947,-1.20437895292708,-1.10740896876724,"PFLU_5493","putative hydrolase","catalytic activity"
"PFLU_5621",-0.345831914857929,-0.911706602514183,-1.14229713039249,-1.76848286766206,-0.85418328930822,"rarD","EamA-like transporter ","membrane"
"PFLU_5694",-1.70192590037892,-0.811890039209882,-1.83139512894187,-1.34153113812375,-1.82801329688204,"PFLU_5694"," perplasmic ABC transporter*",""
"PFLU_5813",-0.857571213120378,0.452851162089466,-0.879023132566518,-0.625796434986339,-0.856128773527796,"PFLU_5813","putative heavy metal ABC transporter membrane protein","cation transport"
"PFLU_5822",-0.109072350659423,-0.966741461596542,-1.20937154909457,-1.48063627242511,-1.20681839868904,"PFLU_5822","integral membrane protein",""
"PFLU_5891",-0.277819548428099,-1.49945401529798,-1.19114904107345,-1.19658224408437,-0.270569109013132,"PFLU_5891","flagellar basal body-associated protein FliL-like protein","chemotaxis"
